Year,Month,Day,Sum of Total_Bookings,Sum of adr,Sum of revenue,Cancellation %
2015,October,19,,12128100.03,32877649.66,0.371373064
2015,October,20,,12128100.03,32877649.66,0.371373064
2015,October,21,,12128100.03,32877649.66,0.371373064
2015,October,22,,12128100.03,32877649.66,0.371373064
2015,October,23,,12128100.03,32877649.66,0.371373064
2015,October,24,,12128100.03,32877649.66,0.371373064
2015,October,25,,12128100.03,32877649.66,0.371373064
2015,October,26,,12128100.03,32877649.66,0.371373064
2015,October,27,,12128100.03,32877649.66,0.371373064
2015,October,28,,12128100.03,32877649.66,0.371373064
2015,October,29,,12128100.03,32877649.66,0.371373064
2015,October,30,,12128100.03,32877649.66,0.371373064
2015,November,1,,12128100.03,32877649.66,0.371373064
2015,November,2,,12128100.03,32877649.66,0.371373064
2015,November,3,,12128100.03,32877649.66,0.371373064
2015,November,4,,12128100.03,32877649.66,0.371373064
2015,November,5,,12128100.03,32877649.66,0.371373064
2015,November,6,,12128100.03,32877649.66,0.371373064
2015,November,7,,12128100.03,32877649.66,0.371373064
2015,November,8,,12128100.03,32877649.66,0.371373064
2015,November,9,,12128100.03,32877649.66,0.371373064
2015,November,10,,12128100.03,32877649.66,0.371373064
2015,November,11,,12128100.03,32877649.66,0.371373064
2015,November,12,,12128100.03,32877649.66,0.371373064
2015,November,13,,12128100.03,32877649.66,0.371373064
2015,November,14,,12128100.03,32877649.66,0.371373064
2015,November,15,,12128100.03,32877649.66,0.371373064
2015,November,16,,12128100.03,32877649.66,0.371373064
2015,November,17,,12128100.03,32877649.66,0.371373064
2015,November,18,,12128100.03,32877649.66,0.371373064
2015,November,19,,12128100.03,32877649.66,0.371373064
2015,November,20,,12128100.03,32877649.66,0.371373064
2015,November,21,,12128100.03,32877649.66,0.371373064
2015,November,22,,12128100.03,32877649.66,0.371373064
2015,November,23,,12128100.03,32877649.66,0.371373064
2015,November,24,,12128100.03,32877649.66,0.371373064
2015,November,25,,12128100.03,32877649.66,0.371373064
2015,November,26,,12128100.03,32877649.66,0.371373064
2015,November,27,,12128100.03,32877649.66,0.371373064
2015,November,28,,12128100.03,32877649.66,0.371373064
2015,November,29,,12128100.03,32877649.66,0.371373064
2015,December,1,,12128100.03,32877649.66,0.371373064
2015,December,2,,12128100.03,32877649.66,0.371373064
2015,December,3,,12128100.03,32877649.66,0.371373064
2015,December,4,,12128100.03,32877649.66,0.371373064
2015,December,5,,12128100.03,32877649.66,0.371373064
2015,December,6,,12128100.03,32877649.66,0.371373064
2015,December,7,,12128100.03,32877649.66,0.371373064
2015,December,8,,12128100.03,32877649.66,0.371373064
2015,December,9,,12128100.03,32877649.66,0.371373064
2015,December,10,,12128100.03,32877649.66,0.371373064
2015,December,11,,12128100.03,32877649.66,0.371373064
2015,December,12,,12128100.03,32877649.66,0.371373064
2015,December,13,,12128100.03,32877649.66,0.371373064
2015,December,14,,12128100.03,32877649.66,0.371373064
2015,December,15,,12128100.03,32877649.66,0.371373064
2015,December,16,,12128100.03,32877649.66,0.371373064
2015,December,17,,12128100.03,32877649.66,0.371373064
2015,December,18,,12128100.03,32877649.66,0.371373064
2015,December,19,,12128100.03,32877649.66,0.371373064
2015,December,20,,12128100.03,32877649.66,0.371373064
2015,December,21,,12128100.03,32877649.66,0.371373064
2015,December,22,,12128100.03,32877649.66,0.371373064
2015,December,23,,12128100.03,32877649.66,0.371373064
2015,December,24,,12128100.03,32877649.66,0.371373064
2015,December,25,,12128100.03,32877649.66,0.371373064
2015,December,26,,12128100.03,32877649.66,0.371373064
2015,December,27,,12128100.03,32877649.66,0.371373064
2015,December,28,,12128100.03,32877649.66,0.371373064
2015,December,29,,12128100.03,32877649.66,0.371373064
2015,December,30,,12128100.03,32877649.66,0.371373064
2016,January,1,,12128100.03,32877649.66,0.371373064
2016,January,2,,12128100.03,32877649.66,0.371373064
2016,January,3,,12128100.03,32877649.66,0.371373064
2016,January,4,,12128100.03,32877649.66,0.371373064
2016,January,5,,12128100.03,32877649.66,0.371373064
2016,January,6,,12128100.03,32877649.66,0.371373064
2016,January,7,,12128100.03,32877649.66,0.371373064
2016,January,8,,12128100.03,32877649.66,0.371373064
2016,January,9,,12128100.03,32877649.66,0.371373064
2016,January,10,,12128100.03,32877649.66,0.371373064
2016,January,11,,12128100.03,32877649.66,0.371373064
2016,January,12,,12128100.03,32877649.66,0.371373064
2016,January,13,,12128100.03,32877649.66,0.371373064
2016,January,14,,12128100.03,32877649.66,0.371373064
2016,January,15,,12128100.03,32877649.66,0.371373064
2016,January,16,,12128100.03,32877649.66,0.371373064
2016,January,17,,12128100.03,32877649.66,0.371373064
2016,January,18,,12128100.03,32877649.66,0.371373064
2016,January,19,,12128100.03,32877649.66,0.371373064
2016,January,20,,12128100.03,32877649.66,0.371373064
2016,January,21,,12128100.03,32877649.66,0.371373064
2016,January,22,,12128100.03,32877649.66,0.371373064
2016,January,23,,12128100.03,32877649.66,0.371373064
2016,January,24,,12128100.03,32877649.66,0.371373064
2016,January,25,,12128100.03,32877649.66,0.371373064
2016,January,26,,12128100.03,32877649.66,0.371373064
2016,January,27,,12128100.03,32877649.66,0.371373064
2016,January,28,,12128100.03,32877649.66,0.371373064
2016,January,29,,12128100.03,32877649.66,0.371373064
2016,January,30,,12128100.03,32877649.66,0.371373064
2016,February,1,,12128100.03,32877649.66,0.371373064
2016,February,2,,12128100.03,32877649.66,0.371373064
2016,February,3,,12128100.03,32877649.66,0.371373064
2016,February,4,,12128100.03,32877649.66,0.371373064
2016,February,5,,12128100.03,32877649.66,0.371373064
2016,February,6,,12128100.03,32877649.66,0.371373064
2016,February,7,,12128100.03,32877649.66,0.371373064
2016,February,8,,12128100.03,32877649.66,0.371373064
2016,February,9,,12128100.03,32877649.66,0.371373064
2016,February,10,,12128100.03,32877649.66,0.371373064
2016,February,11,,12128100.03,32877649.66,0.371373064
2016,February,12,,12128100.03,32877649.66,0.371373064
2016,February,13,,12128100.03,32877649.66,0.371373064
2016,February,14,,12128100.03,32877649.66,0.371373064
2016,February,15,,12128100.03,32877649.66,0.371373064
2016,February,16,,12128100.03,32877649.66,0.371373064
2016,February,17,,12128100.03,32877649.66,0.371373064
2016,February,18,,12128100.03,32877649.66,0.371373064
2016,February,19,,12128100.03,32877649.66,0.371373064
2016,February,20,,12128100.03,32877649.66,0.371373064
2016,February,21,,12128100.03,32877649.66,0.371373064
2016,February,22,,12128100.03,32877649.66,0.371373064
2016,February,23,,12128100.03,32877649.66,0.371373064
2016,February,24,,12128100.03,32877649.66,0.371373064
2016,February,25,,12128100.03,32877649.66,0.371373064
2016,February,26,,12128100.03,32877649.66,0.371373064
